Input	Result_address	GPS-north-lat	GPS-East-long	Eastings	Northings
B61 0EX	B61 0EX	52.353817	-2.048518	396792	272861
B98 7WG	B98 7WG	52.281409	-1.911185	406156	264811
WR3 8AJ	WR3 8AJ	52.20667	-2.225751	384670	256518
WR5 1JG	WR5 1JG	52.192425	-2.183119	387579	254924
HR1 2ER	HR1 2ER	52.057013	-2.705709	351710	240083
HR4 0AY	HR4 0AY	52.053644	-2.722968	350509	239716
PO4 8FE	PO4 8FE	50.796107	-1.045439	467372	100050
PO4 8FE	PO4 8FE	50.796107	-1.045439	467372	100050
PO30 1JW	PO30 1JW	50.699621	-1.291519	450131	89127
PO36 9EA	PO36 9EA	50.651338	-1.162631	459294	83853
SS4 1RB	SS4 1RB	51.583955	0.702782	587349	190694
LU4 0FB	LU4 0FB	51.897411	-0.474726	505047	223195
SS16 5NL	SS16 5NL	51.558437	0.451767	570054	187243
CM1 7LF	CM1 7LF	51.776433	0.46093	569874	211505
CO4 0HF	CO4 0HF	51.912379	0.928831	601540	227814
CO4 5JY	CO4 5JY	51.912323	0.902188	599706	227733
CO4 5JL	CO4 5JL	51.910164	0.899182	599511	227486
SS6 9RN	SS6 9RN	51.605211	0.596558	579905	192790
SS0 7DB	SS0 7DB	51.543745	0.699633	587296	186215
SS11 7FE	SS11 7FE	51.630994	0.539593	575863	195519
CM20 1QX	CM20 1QX	51.771529	0.085457	543989	210152
CO4 5HG	CO4 5HG	51.918341	0.896204	599270	228387
MK43 8HJ	MK43 8HJ	52.153026	-0.54986	499309	251517
TN12 0ER	TN12 0ER	51.148232	0.555465	578831	141879
IG3 8XQ	IG3 8XQ	51.572927	0.110712	546435	188039
E11 1NU	E11 1NU	51.576895	0.005568	539070	188353
L26 9UH	L26 9UH	53.359024	-2.82558	345152	384999
L22 0LG	L22 0LG	53.475236	-3.021503	332298	398096
S20 1NZ	S20 1NZ	53.344363	-1.349358	443415	383247
BH13 7LN	BH13 7LN	50.699151	-1.928109	405173	88838
BH4 8EW	BH4 8EW	50.716727	-1.904421	406844	90793
BH10 4EU	BH10 4EU	50.749487	-1.894489	407540	94437
BH21 1SF	BH21 1SF	50.787013	-1.972009	402069	98606
BH17 8WG	BH17 8WG	50.747488	-1.967823	402366	94211
DT2 9TB	DT2 9TB	50.754327	-2.453341	368117	95068
DT1 2ER	DT1 2ER	50.706052	-2.444546	368705	89697
LS2 9LN	LS2 9LN	53.804078	-1.558852	429151	434288
LS14 6UH	LS14 6UH	53.80659	-1.470904	434941	434607
LS14 1PP	LS14 1PP	53.821953	-1.48024	434314	436310
LS1 3EX	LS1 3EX	53.801445	-1.551744	429621	433998
LS9 7BE	LS9 7BE	53.807059	-1.523216	431496	434633
LS12 2HE	LS12 2HE	53.799299	-1.590026	427101	433744
YO30 5RA	YO30 5RA	53.978528	-1.113558	458235	453969
YO32 9QA	YO32 9QA	53.992863	-1.062614	461555	455607
TA2 7AZ	TA2 7AZ	51.032894	-3.101928	322828	126526
TA2 7AU	TA2 7AU	51.032449	-3.101433	322862	126476
BA20 2BX	BA20 2BX	50.946541	-2.648116	354565	116545
TA2 7AZ	TA2 7AZ	51.032894	-3.101928	322828	126526
TA6 5YA	not found	0	0	0	0
BA5 1TH	BA5 1TH	51.202969	-2.655806	354279	145067
DN22 0PD	DN22 0PD	53.290647	-0.838941	477493	377702
LE5 0LE	LE5 0LE	52.648673	-1.093765	461408	306043
NG17 4JT	NG17 4JT	53.13471	-1.23809	451071	359997
NG18 5QJ	NG18 5QJ	53.141379	-1.206279	453191	360762
NG5 3FL	NG5 3FL	52.990047	-1.141793	457706	343977
NG3 3AA	NG3 3AA	52.973168	-1.123992	458924	342116
NG6 9DR	NG6 9DR	52.993059	-1.191851	454342	344273
NG3 2PY	NG3 2PY	52.967079	-1.123219	458984	341437
NG4 3HS	NG4 3HS	52.975002	-1.08114	461799	342356
S63 7TQ	S63 7TQ	53.490957	-1.342355	443731	399562
NG18 4GW	NG18 4GW	53.125014	-1.150946	456914	358986
PL31 2QN	PL31 2QN	50.471755	-4.740857	205607	67139
TR15 3ER	TR15 3ER	50.229381	-5.244376	168705	41636
TW3 3EL	TW3 3EL	51.468263	-0.371755	513196	175623
W13 8RA	W13 8RA	51.51174	-0.315039	517024	180547
W3 8NJ	W3 8NJ	51.504322	-0.269253	520219	179796
TW7 6AF	TW7 6AF	51.473648	-0.324434	516469	176296
W5 2PJ	W5 2PJ	51.514316	-0.300344	518027	180854
TW10 7JF	TW10 7JF	51.432912	-0.3081	517708	171792
RG45 7EG	RG45 7EG	51.369086	-0.781	484954	164041
UB2 4AU	UB2 4AU	51.504985	-0.377434	512711	179698
UB1 3EU	UB1 3EU	51.506667	-0.349737	514629	179928
W7 3HL	W7 3HL	51.510226	-0.335493	515607	180346
W6 8LN	W6 8LN	51.48685	-0.217768	523841	177939
W6 8NF	W6 8NF	51.486405	-0.217416	523865	177890
W6 8QZ	W6 8QZ	51.484686	-0.219754	523709	177695
W6 0LS	W6 0LS	51.494613	-0.22863	523066	178784
UB2 4SA	not found	0	0	0	0
ST2  8LD	not found	0	0	0	0
ST1 4ND	ST1 4ND	53.016902	-2.182605	387847	346638
ST5 7HL	ST5 7HL	53.043949	-2.251838	383213	349659
ST3 4LR	ST3 4LR	52.979033	-2.132641	391191	342416
ST5 7NJ	ST5 7NJ	53.039004	-2.239118	384064	349106
ST13 7ED	ST13 7ED	53.074197	-2.041439	397321	352997
ST4 7LF	ST4 7LF	53.00244	-2.19804	386807	345030
ST6 5UD	ST6 5UD	53.063325	-2.208139	386149	351807
ST4 6RR	ST4 6RR	53.00054	-2.210831	385948	344821
ST1 2BX	ST1 2BX	53.027724	-2.170945	388632	347838
NR6 5BE	NR6 5BE	52.659531	1.250872	619952	311828
NR2 3TD	NR2 3TD	52.633009	1.262597	620877	308912
NR30 1BU	NR30 1BU	52.616934	1.730032	652590	308660
NR7 0HT	NR7 0HT	52.629789	1.368574	628063	308884
NR33 8AG	NR33 8AG	52.453303	1.696747	651272	290355
NR32 1PH	NR32 1PH	52.477879	1.751754	654866	293280
NR1 3RE	NR1 3RE	52.622241	1.288353	622674	307794
NR2 4HN	NR2 4HN	52.637446	1.270047	621360	309431
NR18 0WF	NR18 0WF	52.578311	1.14155	612953	302466
CB8 7JG	CB8 7JG	52.250892	0.399994	563928	264126
IP1 2BU	IP1 2BU	52.057224	1.146599	615817	244544
IP13 0TA	IP13 0TA	52.157464	1.363981	630199	256357
	not found	0	0	0	0
IP4 5PD	IP4 5PD	52.056849	1.197915	619336	244656
IP33 2QZ	IP33 2QZ	52.231662	0.709176	585110	262732
IP3 8LS	IP3 8LS	52.050631	1.192627	619002	243947
IP14 1RF	not found	0	0	0	0
IP1 2BX	IP1 2BX	52.054188	1.143672	615629	244196
IP3 8LS	IP3 8LS	52.050631	1.192627	619002	243947
IP3 8XL	IP3 8XL	52.049877	1.194558	619138	243869
PE30 5PD	PE30 5PD	52.748033	0.408738	562680	319433
HP11 1NH	HP11 1NH	51.628399	-0.743839	487046	192923
OX4 4XN	OX4 4XN	51.717422	-1.229479	453327	202358
OX3 7JX	OX3 7JX	51.750841	-1.22232	453782	206080
OX3 7JU	OX3 7JU	51.749654	-1.214213	454343	205954
OX4 4XN	OX4 4XN	51.717422	-1.229479	453327	202358
MK6 5NG	MK6 5NG	52.026384	-0.73576	486836	237194
SN1 4JS	SN1 4JS	51.550161	-1.797294	414152	183494
OX26 6DU	OX26 6DU	51.897252	-1.158213	458018	222412
OX11 0AG	OX11 0AG	51.604427	-1.260127	451337	189769
OX10 9DU	OX10 9DU	51.594677	-1.128273	460480	188785
OX28 6JJ	OX28 6JJ	51.787407	-1.489856	435285	209984
OX14 1AG	OX14 1AG	51.670023	-1.301891	448375	197036
HP20 1EG	HP20 1EG	51.820414	-0.80254	482631	214209
NN5 6GQ	NN5 6GQ	52.244947	-0.960883	471044	261260
NN5 6UH	NN5 6UH	52.262629	-0.956734	471298	263229
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
NG31 9DF	NG31 9DF	52.911902	-0.6308	492172	335819
DN21 2DZ	DN21 2DZ	53.39727	-0.775223	481537	389634
LN11 0YJ	LN11 0YJ	53.374514	-0.010598	532445	388250
LN1 1EQ	LN1 1EQ	53.246192	-0.56079	496133	373094
LN2 4WA	LN2 4WA	53.241505	-0.507074	499728	372646
LN6 8UZ	LN6 8UZ	53.185687	-0.576435	495223	366345
